task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABDPT (default),TA-TABPFN-2.6 (default),TA-TABICLv2 (default)
cirrhosis_patient_survival_prediction-c8851fd8162a,0.32967487143096924,0.8338068186552251,1.0,0.7424281230462337,0.5814933847475942,0.7855294682616534,0.1453085916777163,0.0,0.19388046243304147,0.4206986773300083,0.619485825419304
clock_protein_toxicity-f1eed69eb784,1.0,0.6606338063991037,0.5435576580700949,0.08955185919934829,0.08042118113840978,0.0758278650999544,0.0236990691286442,0.1201078386489648,0.8763517981586029,0.0,0.38378859555419964
coffee_rating_prediction-5ff37781e0a3,0.7448552847946349,0.98909852157197,1.0,0.2572649077595288,0.1739662894896034,0.21323067067640375,0.12722321785431098,0.2955900448155248,0.4141885214788196,0.0,0.15405541341558093
coil_2000-d498c6d7849f,0.7967422281486121,0.7943106648887481,0.7150974804124075,0.3351722575191075,0.25215921074419656,0.4376029492509207,0.40704717581335176,0.302306934748693,1.0,0.0,0.060623491167060395
concrete_compressive_strength-4c0702dec5d1,1.0,0.2358306386565352,0.2505142116960215,0.02955234903080177,0.025432844920986054,0.0294828008543227,0.02524130065243015,0.03849272312210436,0.08211063850025835,0.0,0.0234030486958998
credit_approval-a37d9105992b,1.0,0.0,0.9847800734162667,0.2522289932308856,0.0967769268859969,0.04588013665454196,0.32168582177949406,0.2868347560212535,0.32320516183967407,0.04986102963218924,0.07070670953509409
credit_card_clients_default-9470ea90c86d,1.0,0.2545614906914061,0.18207063144419036,0.1709411272991751,0.13637641142766918,0.15093777047907103,0.13291559572038508,0.04224788470968458,0.13464797817408689,0.010874122537098053,0.0
credit_g-6ced9fa4ef3f,0.5171842569022906,0.7219241563866589,1.0,0.06411657202532409,0.09610991449644239,0.1233300698387845,0.17368579074472895,0.0,0.8331486195418045,0.15978134586515272,0.06594217087657393
customer_satisfaction_in_airline-717af216790d,1.0,0.0755668214645949,0.03996729289032383,0.015097347434510824,0.026230141964786072,0.02892640824232895,0.00684885557771491,0.002912329005294758,0.021414083155653657,0.0010178567680765383,0.0
dementia_prediction-d8ce15bd8d63,0.1409879982003054,0.4972424985641894,0.19356243040035262,0.20389821967646057,0.3458813256305418,0.7308650838548885,0.0,0.39162809582950614,1.0,0.6651744530794625,0.7462538608038011
diabetes_130_us-a06cb03600f0,0.293305542398627,0.28847047056542796,0.4163053459007478,0.0,0.12740778205915368,0.012100247578586285,0.06309439788700309,0.2440615127976089,1.0,0.11079005043154319,0.20369398526331442
diamonds-910d3c5757be,1.0,0.09458268346328493,0.08993678310136488,0.020752640028717687,0.030130443915128025,0.0359441363842512,0.0,0.001551529525744084,0.021378815069737822,0.015515271637258908,0.0015826294192038994
drug_induced_autoimmunity_prediction-752f934a6ee0,1.0,0.4582064410377996,0.28528009048542163,0.2902338044099545,0.5216762787265508,0.5023211083254455,0.21825676448084272,0.25860927052177307,0.6376999404223654,0.17718600016330963,0.0
early_learning_predictors-90d92cf6004c,1.0,0.2655377569648457,0.2321205305864542,0.024002845791109163,0.0,0.13483597141846837,0.04211682250861831,0.07331829992278104,0.4914644020405986,0.05853089560496352,0.15805024398162085
early_stage_diabetes_risk_prediction-51d4ebef5816,1.0,0.12136077636770805,0.15250079982936976,0.006398634957876629,0.5131705236216285,0.3476591660445769,0.45739575557214446,0.47008638157193194,0.2500799829369728,0.30457502399488234,0.0
ecoli_proteins-88ead48fb030,0.37404738649622976,0.7203914299717821,0.6236551958871767,0.15913162112622198,0.5246045869978293,1.0,0.06878665490808089,0.6291428667099024,0.1984740180525127,0.6509577847999487,0.0
ecommerce_shipping-db33e797abb9,1.0,0.0,0.0891341371664895,0.07028008284856413,0.09363739664715065,0.049756702068590314,0.021998922876630876,0.034446655011541885,0.23285991236455797,0.03677363995030219,0.014101476602013467
emscad-1790bb44ad91,1.0,0.22192505996856593,0.16137748490446396,0.21782238275110818,0.18903195566461634,0.2041247346218525,0.05748711020430411,0.20622018803937214,0.23800490777247807,0.0,0.01021809258595353
eryhemato_squamous_disease-a64cf6ea937e,0.06249541177583911,1.0,0.7972280952352523,0.3029432919186558,0.2642010644364648,0.7814703595572293,0.3973209903473876,0.64487054941115,0.7624279073373343,0.47142614495829904,0.0
fiat_500-b26e24c630ed,1.0,0.4533321648968393,0.41098125413038483,0.2632857737096916,0.39786167889977936,0.37489543848479134,0.11503390381120537,0.7185466120346797,0.09259456600896611,0.2964621790307765,0.0
fitness_club-95daf6614f7a,0.10958805987420803,1.0,0.18189066867579431,0.3175507039487884,0.15126175994791405,0.533282369187632,0.12787170486185198,0.05972307975852148,0.06109729037928792,0.00569833197858629,0.0
